business,name,city,state,country,energyType,date,size,longitude,latitude,aws_percent,aws_size_MW
AWS,Amazon Solar Farm Virginia - Bartonsville,Frederick County,Virginia,US,Solar farm,2024,80,-78.15,39.15,100%,80
AWS,Amazon Solar Farm Delaware - Cedar Creek,Kent County,Delaware,US,Solar farm,2024,74.7,-75.57,39.37,100%,74.7
"72% AWS, 28% Amazon.com",Amazon Solar Farm Brazil - Novo Oriente,Sao Paulo,Brazil,Brazil,Solar farm,2024,122,-51.341,-20.652,72%,87.84
AWS & AMZL,Amazon Wind Farm Brazil - Serido,Rio Grande do Norte,Brazil,Brazil,Wind farm,2024,49.5,-6.766,-36.658,100%,49.5
AWS,Amazon Solar Farm Spain - Zaratan,Spain,Spain,Spain,Solar farm,2024,20.09,-4.84,41.64,100%,20.09
AWS,Amazon Solar Farm Spain - Arroyadas,Spain,Spain,Spain,Solar farm,2024,20.09,-4.78,41.52,100%,20.09
AWS,Amazon Solar Farm Spain - Brazatortas,Spain,Spain,Spain,Solar farm,2024,37.75,-4.223,38.712,100%,37.75
"55% AWS, 45% Amazon.com",Amazon Wind Farm UK - Kennoxhead,"Kennoxhead, South Lanarkshire",Scotland,United Kingdom,Wind farm,2024,69,-3.88,55.505,55%,37.95
AWS,Amazon Solar Farm Spain – Armada,Spain,Spain,Spain,Solar farm,2024,74,-3.2,40.39,100%,74
"20% AWS, 50% Amazon.com, 30% Devices",Amazon Wind Farm UK - Moray West,United Kingdom,United Kingdom,United Kingdom,Wind farm,2024,473,-2.758,58.126,50%,236.5
AWS,Amazon Solar Farm UK - Warley,United Kingdom,United Kingdom,United Kingdom,Solar farm,2024,47,0.34,51.535,100%,47
"90% AWS, 10% v",Amazon Shell HKN Offshore Wind,Netherlands,Netherlands,Netherlands,Wind farm,2024,380,4.573,52.461,90%,342
"50% AWS, 50% Amazon.com",Amazon Solar Farm Spain - Carmonita South,Spain,Spain,Spain,Solar farm,2024,80,6.45,38.97,50%,40
AWS,Amazon Solar Farm Greece - Macrichoria,Greece,Greece,Greece,Solar farm,2024,24,21.21,38.87,100%,24
AWS,Amazon Wind Farm Finland - Mustalamminmaki,Finland,Finland,Finland,Wind farm,2024,23.6,24.904,62.856,100%,23.6
AWS,Amazon Wind Farm Finland - Koiramaki,Finland,Finland,Finland,Wind farm,2024,23.6,24.985,62.903,100%,23.6
AWS,Amazon Wind Farm Finland - Illevaara,Finland,Finland,Finland,Wind farm,2024,30,28.554,64.587,100%,30
